file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,43,css,8b8f22d3,Adrian,2025-01-16,20:59:13,-08:00,2025-01-16T20:59:13-08:00,0,21
style.css,44,css,8b8f22d3,Adrian,2025-01-16,20:59:13,-08:00,2025-01-16T20:59:13-08:00,0,14
style.css,45,css,8b8f22d3,Adrian,2025-01-16,20:59:13,-08:00,2025-01-16T20:59:13-08:00,0,18
style.css,46,css,8b8f22d3,Adrian,2025-01-16,20:59:13,-08:00,2025-01-16T20:59:13-08:00,0,14
style.css,47,css,8b8f22d3,Adrian,2025-01-16,20:59:13,-08:00,2025-01-16T20:59:13-08:00,0,0
style.css,48,css,8b8f22d3,Adrian,2025-01-16,20:59:13,-08:00,2025-01-16T20:59:13-08:00,0,0
style.css,49,css,8b8f22d3,Adrian,2025-01-16,20:59:13,-08:00,2025-01-16T20:59:13-08:00,0,0
style.css,50,css,8b8f22d3,Adrian,2025-01-16,20:59:13,-08:00,2025-01-16T20:59:13-08:00,0,10
style.css,51,css,8b8f22d3,Adrian,2025-01-16,20:59:13,-08:00,2025-01-16T20:59:13-08:00,0,20
style.css,52,css,8b8f22d3,Adrian,2025-01-16,20:59:13,-08:00,2025-01-16T20:59:13-08:00,0,26
style.css,53,css,df4ade45,Adrian,2025-01-24,01:09:21,-08:00,2025-01-24T01:09:21-08:00,0,45
style.css,54,css,8b8f22d3,Adrian,2025-01-16,20:59:13,-08:00,2025-01-16T20:59:13-08:00,0,21
style.css,55,css,8b8f22d3,Adrian,2025-01-16,20:59:13,-08:00,2025-01-16T20:59:13-08:00,0,0
style.css,56,css,8b8f22d3,Adrian,2025-01-16,20:59:13,-08:00,2025-01-16T20:59:13-08:00,0,0
style.css,57,css,8b8f22d3,Adrian,2025-01-16,20:59:13,-08:00,2025-01-16T20:59:13-08:00,0,8
style.css,58,css,8b8f22d3,Adrian,2025-01-16,20:59:13,-08:00,2025-01-16T20:59:13-08:00,0,40
style.css,59,css,8b8f22d3,Adrian,2025-01-16,20:59:13,-08:00,2025-01-16T20:59:13-08:00,0,26
style.css,60,css,df4ade45,Adrian,2025-01-24,01:09:21,-08:00,2025-01-24T01:09:21-08:00,0,70
style.css,61,css,8b8f22d3,Adrian,2025-01-16,20:59:13,-08:00,2025-01-16T20:59:13-08:00,0,21
style.css,62,css,8b8f22d3,Adrian,2025-01-16,20:59:13,-08:00,2025-01-16T20:59:13-08:00,0,0
style.css,63,css,8b8f22d3,Adrian,2025-01-16,20:59:13,-08:00,2025-01-16T20:59:13-08:00,0,0
style.css,64,css,e8c39b53,Adrian,2025-01-17,18:40:17,-08:00,2025-01-17T18:40:17-08:00,0,5
style.css,65,css,e8c39b53,Adrian,2025-01-17,18:40:17,-08:00,2025-01-17T18:40:17-08:00,0,13
style.css,66,css,e8c39b53,Adrian,2025-01-17,18:40:17,-08:00,2025-01-17T18:40:17-08:00,0,13
style.css,67,css,e8c39b53,Adrian,2025-01-17,18:40:17,-08:00,2025-01-17T18:40:17-08:00,0,31
style.css,68,css,e8c39b53,Adrian,2025-01-17,18:40:17,-08:00,2025-01-17T18:40:17-08:00,0,19
style.css,69,css,e8c39b53,Adrian,2025-01-17,18:40:17,-08:00,2025-01-17T18:40:17-08:00,0,8
style.css,70,css,e8c39b53,Adrian,2025-01-17,18:40:17,-08:00,2025-01-17T18:40:17-08:00,0,16
style.css,71,css,e8c39b53,Adrian,2025-01-17,18:40:17,-08:00,2025-01-17T18:40:17-08:00,0,0
style.css,72,css,e8c39b53,Adrian,2025-01-17,18:40:17,-08:00,2025-01-17T18:40:17-08:00,0,0
style.css,73,css,e8c39b53,Adrian,2025-01-17,18:40:17,-08:00,2025-01-17T18:40:17-08:00,0,6
style.css,74,css,e8c39b53,Adrian,2025-01-17,18:40:17,-08:00,2025-01-17T18:40:17-08:00,0,13
style.css,75,css,e8c39b53,Adrian,2025-01-17,18:40:17,-08:00,2025-01-17T18:40:17-08:00,0,13
style.css,76,css,e8c39b53,Adrian,2025-01-17,18:40:17,-08:00,2025-01-17T18:40:17-08:00,0,30
style.css,77,css,e8c39b53,Adrian,2025-01-17,18:40:17,-08:00,2025-01-17T18:40:17-08:00,0,19
style.css,78,css,e8c39b53,Adrian,2025-01-17,18:40:17,-08:00,2025-01-17T18:40:17-08:00,0,0
style.css,79,css,e8c39b53,Adrian,2025-01-17,18:40:17,-08:00,2025-01-17T18:40:17-08:00,0,0
style.css,80,css,e8c39b53,Adrian,2025-01-17,18:40:17,-08:00,2025-01-17T18:40:17-08:00,0,7
style.css,81,css,e8c39b53,Adrian,2025-01-17,18:40:17,-08:00,2025-01-17T18:40:17-08:00,0,13
style.css,82,css,e8c39b53,Adrian,2025-01-17,18:40:17,-08:00,2025-01-17T18:40:17-08:00,0,30
style.css,83,css,e8c39b53,Adrian,2025-01-17,18:40:17,-08:00,2025-01-17T18:40:17-08:00,0,19
style.css,84,css,e8c39b53,Adrian,2025-01-17,18:40:17,-08:00,2025-01-17T18:40:17-08:00,0,18
style.css,85,css,e8c39b53,Adrian,2025-01-17,18:40:17,-08:00,2025-01-17T18:40:17-08:00,0,0
style.css,86,css,e8c39b53,Adrian,2025-01-17,18:40:17,-08:00,2025-01-17T18:40:17-08:00,0,0
style.css,87,css,e8c39b53,Adrian,2025-01-17,18:40:17,-08:00,2025-01-17T18:40:17-08:00,0,16
style.css,88,css,e8c39b53,Adrian,2025-01-17,18:40:17,-08:00,2025-01-17T18:40:17-08:00,0,13
style.css,89,css,e8c39b53,Adrian,2025-01-17,18:40:17,-08:00,2025-01-17T18:40:17-08:00,0,0
style.css,90,css,e8c39b53,Adrian,2025-01-17,18:40:17,-08:00,2025-01-17T18:40:17-08:00,0,0
style.css,91,css,e8c39b53,Adrian,2025-01-17,18:40:17,-08:00,2025-01-17T18:40:17-08:00,0,10
style.css,92,css,e8c39b53,Adrian,2025-01-17,18:40:17,-08:00,2025-01-17T18:40:17-08:00,0,13
style.css,93,css,e8c39b53,Adrian,2025-01-17,18:40:17,-08:00,2025-01-17T18:40:17-08:00,0,59
style.css,94,css,e8c39b53,Adrian,2025-01-17,18:40:17,-08:00,2025-01-17T18:40:17-08:00,0,8
style.css,95,css,e8c39b53,Adrian,2025-01-17,18:40:17,-08:00,2025-01-17T18:40:17-08:00,0,0
style.css,96,css,e8c39b53,Adrian,2025-01-17,18:40:17,-08:00,2025-01-17T18:40:17-08:00,0,0
style.css,97,css,e8c39b53,Adrian,2025-01-17,18:40:17,-08:00,2025-01-17T18:40:17-08:00,0,18
style.css,98,css,e8c39b53,Adrian,2025-01-17,18:40:17,-08:00,2025-01-17T18:40:17-08:00,0,27
style.css,99,css,e8c39b53,Adrian,2025-01-17,18:40:17,-08:00,2025-01-17T18:40:17-08:00,0,16
style.css,100,css,e8c39b53,Adrian,2025-01-17,18:40:17,-08:00,2025-01-17T18:40:17-08:00,0,8
style.css,101,css,e8c39b53,Adrian,2025-01-17,18:40:17,-08:00,2025-01-17T18:40:17-08:00,0,0
style.css,102,css,e8c39b53,Adrian,2025-01-17,18:40:17,-08:00,2025-01-17T18:40:17-08:00,0,0
style.css,103,css,a87e042c,Adrian,2025-02-08,21:40:04,-08:00,2025-02-08T21:40:04-08:00,0,14
style.css,104,css,a87e042c,Adrian,2025-02-08,21:40:04,-08:00,2025-02-08T21:40:04-08:00,0,17
style.css,105,css,a87e042c,Adrian,2025-02-08,21:40:04,-08:00,2025-02-08T21:40:04-08:00,0,14
style.css,106,css,a87e042c,Adrian,2025-02-08,21:40:04,-08:00,2025-02-08T21:40:04-08:00,0,15
style.css,107,css,a87e042c,Adrian,2025-02-08,21:40:04,-08:00,2025-02-08T21:40:04-08:00,0,39
style.css,108,css,a87e042c,Adrian,2025-02-08,21:40:04,-08:00,2025-02-08T21:40:04-08:00,0,18
style.css,109,css,a87e042c,Adrian,2025-02-08,21:40:04,-08:00,2025-02-08T21:40:04-08:00,0,29
style.css,110,css,a87e042c,Adrian,2025-02-08,21:40:04,-08:00,2025-02-08T21:40:04-08:00,0,0
style.css,111,css,a87e042c,Adrian,2025-02-08,21:40:04,-08:00,2025-02-08T21:40:04-08:00,0,0
style.css,112,css,e8c39b53,Adrian,2025-01-17,18:40:17,-08:00,2025-01-17T18:40:17-08:00,0,23
style.css,113,css,e8c39b53,Adrian,2025-01-17,18:40:17,-08:00,2025-01-17T18:40:17-08:00,0,16
style.css,114,css,e8c39b53,Adrian,2025-01-17,18:40:17,-08:00,2025-01-17T18:40:17-08:00,0,18
style.css,115,css,e8c39b53,Adrian,2025-01-17,18:40:17,-08:00,2025-01-17T18:40:17-08:00,0,0
style.css,116,css,e8c39b53,Adrian,2025-01-17,18:40:17,-08:00,2025-01-17T18:40:17-08:00,0,0
style.css,117,css,e8c39b53,Adrian,2025-01-17,18:40:17,-08:00,2025-01-17T18:40:17-08:00,0,3
style.css,118,css,e8c39b53,Adrian,2025-01-17,18:40:17,-08:00,2025-01-17T18:40:17-08:00,0,15
style.css,119,css,e8c39b53,Adrian,2025-01-17,18:40:17,-08:00,2025-01-17T18:40:17-08:00,0,17
style.css,120,css,e8c39b53,Adrian,2025-01-17,18:40:17,-08:00,2025-01-17T18:40:17-08:00,0,16
style.css,121,css,e8c39b53,Adrian,2025-01-17,18:40:17,-08:00,2025-01-17T18:40:17-08:00,0,20
style.css,122,css,e8c39b53,Adrian,2025-01-17,18:40:17,-08:00,2025-01-17T18:40:17-08:00,0,18
style.css,123,css,df4ade45,Adrian,2025-01-24,01:09:21,-08:00,2025-01-24T01:09:21-08:00,0,17
style.css,124,css,e8c39b53,Adrian,2025-01-17,18:40:17,-08:00,2025-01-17T18:40:17-08:00,0,0
style.css,125,css,e8c39b53,Adrian,2025-01-17,18:40:17,-08:00,2025-01-17T18:40:17-08:00,0,0
style.css,126,css,e8c39b53,Adrian,2025-01-17,18:40:17,-08:00,2025-01-17T18:40:17-08:00,0,13
style.css,127,css,e8c39b53,Adrian,2025-01-17,18:40:17,-08:00,2025-01-17T18:40:17-08:00,0,9
style.css,128,css,e8c39b53,Adrian,2025-01-17,18:40:17,-08:00,2025-01-17T18:40:17-08:00,0,17
style.css,129,css,e8c39b53,Adrian,2025-01-17,18:40:17,-08:00,2025-01-17T18:40:17-08:00,0,18
